 (-9.47734265304215,2.156647101490345E-002)
 (1.297819732141774E-002,2.062430962932724E-002)
 (5.585366687996134E-003,8.877348455744912E-003)
 (3.426256596093014E-005,5.236385542980702E-005)
 (0.105674706839779,1.794255227302219E-002)
 (-1.328267095923150E-002,-2.199962671758898E-003)
 (0.543634260949827,9.237483893845044E-002)
 (-2.83046572205669,0.674540199242098)
 (-4.31078284110159,1.02731963181658)
 (-19.6862322173326,4.69150375412949)
 (6.450135414327388E-002,0.379722095530946)
 (2.775882696462993E-002,0.163408340510214)
 (1.387267190699209E-005,4.848714598360110E-005)
 (-0.513992877879974,0.525184158257218)
 (0.147789667887945,-0.150985224269069)
 (7.095114040998884E-005,1.728261149948464E-005)
 (2.928741120706373E-002,-8.561892700229513E-002)
 (-8.354645846395016E-003,2.458218688095044E-002)
 (1.576185182382410E-004,-3.300455016515381E-005)
 (8.025589286414483E-002,-0.258625877147783)
 (-0.277918451590929,0.957853229232548)
 (-0.862541216482394,2.32357772368610)
 (-3.409980030641237E-003,-4.568622793998799E-002)
 (-5.901042307304274E-003,-7.906467924222967E-002)
 (0.415945705722528,5.57267124174730)
 (-0.335902576957712,0.226997147190186)
 (0.193925934430059,-0.131048112332629)
 (-7.85919716807695,5.31110634936759)
 (1.620077223522604E-002,-2.991956418678052E-002)
 (-3.764291205051193E-002,6.951660435623296E-002)
 (-8.575575094794721E-006,6.349080743856737E-006)
 (-1.566199483175244E-002,7.747476643645163E-002)
 (-6.740283736263752E-003,3.334245665513547E-002)
 (3.798670265459539E-006,1.709095239434359E-005)
 (5.00570201738418,-2.838747809607640E-017)
 (8.67050127585534,2.094524262952971E-017)
 (25.7237561689995,-4.975054027461620E-018)
 (-1.48114680733397,-1.51037119687780)
 (0.855361561214592,0.872239981889153)
 (0.229969017674112,0.234507215826272)
 (-7.587459016823424E-002,-4.225089364331098E-002)
 (0.126966039616394,7.069240120728200E-002)
 (4.194207655665451E-006,-1.285339178935165E-006)
 (0.234264782446311,4.608176152037165E-002)
 (-7.943314305763616E-002,-1.562794468306402E-002)
 (3.128056301370690E-007,-2.641467146513885E-006)
 (7.573205529748415E-002,-0.116000563419063)
 (-0.249653528626701,0.382409922127667)
 (-1.273624129665644E-005,1.384081081255193E-005)
 (-0.348369092813582,0.295285048345817)
 (-0.105675907215359,8.957563047565116E-002)
 (-1.679545858143180E-005,1.561379863130942E-005)
 (1.064589094122207E-002,-9.992812898676390E-003)
 (-1.150032173157395E-002,1.079480209297914E-002)
 (3.719922650962513E-006,-1.971647822342485E-006)
 (-1.603446112260256E-002,1.189992806090588E-002)
 (2.903186010599018E-003,-2.154804547673759E-003)
 (-3.457929939375092E-006,2.707661872473955E-006)
 (-2.69731700455262,-2.83584949980891)
 (1.55735984264605,1.63734516746111)
 (-1.84258485725719,-1.93721914128604)
 (3.090596691158672E-002,1.936726528829022E-003)
